# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	Uz_initial              	Uz_final                	Uz_iters                	U_converged             	epsilon_solver          	epsilon_initial         	epsilon_final           	epsilon_iters           	epsilon_converged       	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             
0.00035                 	smoothSolver	5.4606300000000002e-03	4.9254599999999998e-08	2	4.5975100000000000e-03	3.9938999999999998e-08	2	4.5818899999999999e-03	4.0029099999999999e-08	2	false	smoothSolver	4.0727899999999997e-03	2.8190800000000000e-08	2	true	smoothSolver	1.0294400000000000e-02	6.9815099999999999e-08	2	true	GAMG	1.2873200000000000e-02	6.3778700000000001e-04	1	true
0.00036                 	smoothSolver	5.4380000000000001e-03	4.8864000000000000e-08	2	4.5676199999999997e-03	3.9638600000000000e-08	2	4.5522000000000002e-03	3.9736900000000002e-08	2	false	smoothSolver	3.9940699999999997e-03	2.7525399999999998e-08	2	true	smoothSolver	9.9633299999999994e-03	6.7207699999999999e-08	2	true	GAMG	1.2465900000000000e-02	6.1704499999999998e-04	1	true
0.00037                 	smoothSolver	5.4159999999999998e-03	4.8486500000000002e-08	2	4.5389699999999998e-03	3.9347600000000001e-08	2	4.5236499999999997e-03	3.9451199999999998e-08	2	false	smoothSolver	3.9182000000000002e-03	2.6880899999999999e-08	2	true	smoothSolver	9.6516399999999995e-03	6.4796499999999994e-08	2	true	GAMG	1.2102399999999999e-02	6.0030999999999995e-04	1	true
0.00038                 	smoothSolver	5.3945299999999998e-03	4.8122900000000001e-08	2	4.5114300000000003e-03	3.9064800000000002e-08	2	4.4963900000000003e-03	3.9176900000000002e-08	2	false	smoothSolver	3.8452400000000002e-03	2.6264400000000001e-08	2	true	smoothSolver	9.3580099999999999e-03	6.2509299999999997e-08	2	true	GAMG	1.1761600000000001e-02	5.8538299999999998e-04	1	true
0.00039                 	smoothSolver	5.3732800000000002e-03	4.7768600000000001e-08	2	4.4847699999999999e-03	3.8791699999999998e-08	2	4.4701300000000001e-03	3.8907800000000002e-08	2	false	smoothSolver	3.7750399999999999e-03	2.5661900000000000e-08	2	true	smoothSolver	9.0808599999999996e-03	6.0380000000000002e-08	2	true	GAMG	1.1416900000000001e-02	5.6793999999999996e-04	1	true
0.0004                  	smoothSolver	5.3525100000000004e-03	4.7424600000000001e-08	2	4.4591600000000002e-03	3.8527800000000002e-08	2	4.4448200000000004e-03	3.8650400000000000e-08	2	false	smoothSolver	3.7073100000000001e-03	2.5092000000000001e-08	2	true	smoothSolver	8.8187500000000002e-03	5.8329800000000003e-08	2	true	GAMG	1.1082399999999999e-02	5.5115800000000005e-04	1	true
0.00041                 	smoothSolver	5.3319999999999999e-03	4.7087999999999998e-08	2	4.4344500000000004e-03	3.8269999999999998e-08	2	4.4202399999999998e-03	3.8396700000000000e-08	2	false	smoothSolver	3.6422300000000002e-03	2.4557700000000001e-08	2	true	smoothSolver	8.5709400000000008e-03	5.6427800000000003e-08	2	true	GAMG	1.0788799999999999e-02	5.3882900000000000e-04	1	true
0.00042                 	smoothSolver	5.3117299999999998e-03	4.6761999999999999e-08	2	4.4105699999999999e-03	3.8021199999999998e-08	2	4.3965100000000002e-03	3.8153700000000002e-08	2	false	smoothSolver	3.5796900000000000e-03	2.4036900000000000e-08	2	true	smoothSolver	8.3361900000000003e-03	5.4621600000000003e-08	2	true	GAMG	1.0491600000000000e-02	5.2371799999999995e-04	1	true
0.00043                 	smoothSolver	5.2916899999999999e-03	4.6441699999999997e-08	2	4.3875900000000002e-03	3.7779300000000000e-08	2	4.3736000000000001e-03	3.7915599999999998e-08	2	false	smoothSolver	3.5195399999999998e-03	2.3525399999999999e-08	2	true	smoothSolver	8.1136100000000003e-03	5.2901800000000002e-08	2	true	GAMG	1.0222000000000000e-02	5.1182799999999998e-04	1	true
0.00044                 	smoothSolver	5.2720500000000003e-03	4.6129600000000002e-08	2	4.3651999999999996e-03	3.7543100000000000e-08	2	4.3512300000000002e-03	3.7683600000000000e-08	2	false	smoothSolver	3.4616800000000000e-03	2.3046200000000001e-08	2	true	smoothSolver	7.9024100000000003e-03	5.1289399999999999e-08	2	true	GAMG	9.9600499999999998e-03	4.9913400000000004e-04	1	true
