# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	Uz_initial              	Uz_final                	Uz_iters                	U_converged             	epsilon_solver          	epsilon_initial         	epsilon_final           	epsilon_iters           	epsilon_converged       	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             
0.00037                 	smoothSolver	4.8600099999999997e-03	9.1077200000000000e-08	2	4.0999900000000004e-03	6.1044000000000001e-08	2	4.1462599999999997e-03	6.0140400000000003e-08	2	false	smoothSolver	4.9804100000000002e-03	3.0809600000000001e-08	2	true	smoothSolver	2.4621100000000000e-02	1.4466000000000000e-07	2	true	GAMG	1.6865499999999999e-02	8.9873899999999996e-04	1	true
0.00038                 	smoothSolver	4.7392700000000003e-03	8.7584899999999994e-08	2	4.0367600000000003e-03	5.9810700000000002e-08	2	4.0815599999999997e-03	5.8984000000000001e-08	2	false	smoothSolver	4.9444800000000002e-03	3.0519499999999997e-08	2	true	smoothSolver	2.3961600000000000e-02	1.4066399999999999e-07	2	true	GAMG	1.6264199999999999e-02	8.6702800000000005e-04	1	true
0.00039                 	smoothSolver	4.6298099999999998e-03	8.4437099999999996e-08	2	3.9779400000000001e-03	5.8688100000000001e-08	2	4.0227199999999996e-03	5.7911399999999997e-08	2	false	smoothSolver	4.9090000000000002e-03	3.0234200000000002e-08	2	true	smoothSolver	2.3335999999999999e-02	1.3671699999999999e-07	2	true	GAMG	1.5734300000000000e-02	8.3733799999999997e-04	1	true
0.0004                  	smoothSolver	4.5316899999999997e-03	8.1618499999999997e-08	2	3.9240600000000000e-03	5.7668200000000002e-08	2	3.9694900000000000e-03	5.6925199999999999e-08	2	false	smoothSolver	4.8739500000000002e-03	2.9955500000000000e-08	2	true	smoothSolver	2.2741600000000001e-02	1.3289800000000000e-07	2	true	GAMG	1.5264399999999999e-02	8.0938500000000003e-04	1	true
0.00041                 	smoothSolver	4.4421900000000004e-03	7.9005499999999999e-08	2	3.8736999999999999e-03	5.6714400000000003e-08	2	3.9205899999999998e-03	5.6006200000000003e-08	2	false	smoothSolver	4.8393400000000001e-03	2.9667399999999999e-08	2	true	smoothSolver	2.2176299999999999e-02	1.2941099999999999e-07	2	true	GAMG	1.4865900000000000e-02	7.8471400000000005e-04	1	true
0.00042                 	smoothSolver	4.3600599999999998e-03	7.6552800000000000e-08	2	3.8269400000000000e-03	5.5806999999999998e-08	2	3.8748300000000001e-03	5.5146700000000001e-08	2	false	smoothSolver	4.8051500000000002e-03	2.9396300000000000e-08	2	true	smoothSolver	2.1637799999999999e-02	1.2600800000000000e-07	2	true	GAMG	1.4479600000000000e-02	7.6587800000000000e-04	1	true
0.00043                 	smoothSolver	4.2842899999999996e-03	7.4253999999999998e-08	2	3.7827400000000001e-03	5.4953299999999999e-08	2	3.8313599999999998e-03	5.4328199999999999e-08	2	false	smoothSolver	4.7713699999999996e-03	2.9164900000000001e-08	2	true	smoothSolver	2.1124500000000001e-02	1.2279700000000001e-07	2	true	GAMG	1.4086899999999999e-02	7.4328600000000001e-04	1	true
0.00044                 	smoothSolver	4.2139899999999999e-03	7.2076300000000006e-08	2	3.7414200000000001e-03	5.4136399999999998e-08	2	3.7901400000000000e-03	5.3548399999999999e-08	2	false	smoothSolver	4.7380000000000000e-03	2.8884299999999999e-08	2	true	smoothSolver	2.0634400000000001e-02	1.1977700000000000e-07	2	true	GAMG	1.3722699999999999e-02	7.2676399999999997e-04	1	true
0.00045                 	smoothSolver	4.1490199999999998e-03	7.0016699999999995e-08	2	3.7027499999999999e-03	5.3374900000000001e-08	2	3.7507199999999999e-03	5.2797800000000003e-08	2	false	smoothSolver	4.7050299999999998e-03	2.8655399999999999e-08	2	true	smoothSolver	2.0166099999999999e-02	1.1677400000000000e-07	2	true	GAMG	1.3407799999999999e-02	7.1364400000000004e-04	1	true
0.00046                 	smoothSolver	4.0887800000000002e-03	6.8073300000000006e-08	2	3.6656499999999999e-03	5.2648100000000001e-08	2	3.7134700000000000e-03	5.2071499999999997e-08	2	false	smoothSolver	4.6724599999999998e-03	2.8405499999999999e-08	2	true	smoothSolver	1.9718200000000002e-02	1.1392000000000000e-07	2	true	GAMG	1.3127200000000000e-02	7.0124800000000002e-04	1	true
