# Momentum        
#
# Time            	(momentum_x momentum_y momentum_z)	volume            
0.00195           	(5.0202519972e-03 5.5072424190e-09 -3.5118764128e-08)	5.0202519972e-03
0.00196           	(5.0202519972e-03 5.4788595846e-09 -3.5080500766e-08)	5.0202519972e-03
0.00197           	(5.0202519972e-03 5.4506684945e-09 -3.5042353668e-08)	5.0202519972e-03
0.00198           	(5.0202519972e-03 5.4227464623e-09 -3.5002810872e-08)	5.0202519972e-03
0.00199           	(5.0202519972e-03 5.3951033689e-09 -3.4963473832e-08)	5.0202519972e-03
0.002             	(5.0202519972e-03 5.3677004751e-09 -3.4922713862e-08)	5.0202519972e-03
0.00201           	(5.0202519972e-03 5.3404756332e-09 -3.4882245789e-08)	5.0202519972e-03
0.00202           	(5.0202519972e-03 5.3134128005e-09 -3.4840643718e-08)	5.0202519972e-03
0.00203           	(5.0202519972e-03 5.2865428371e-09 -3.4799537173e-08)	5.0202519972e-03
0.00204           	(5.0202519972e-03 5.2607975205e-09 -3.4757010086e-08)	5.0202519972e-03
0.00205           	(5.0202519972e-03 5.2354441270e-09 -3.4715422325e-08)	5.0202519972e-03
0.00206           	(5.0202519972e-03 5.2111499396e-09 -3.4672048927e-08)	5.0202519972e-03
0.00207           	(5.0202519972e-03 5.1865785777e-09 -3.4630193034e-08)	5.0202519972e-03
0.00208           	(5.0202519972e-03 5.1621322922e-09 -3.4587318919e-08)	5.0202519972e-03
0.00209           	(5.0202519972e-03 5.1377060837e-09 -3.4545108209e-08)	5.0202519972e-03
0.0021            	(5.0202519972e-03 5.1132841341e-09 -3.4501597531e-08)	5.0202519972e-03
0.00211           	(5.0202519972e-03 5.0885655711e-09 -3.4458803721e-08)	5.0202519972e-03
0.00212           	(5.0202519972e-03 5.0642513926e-09 -3.4415823319e-08)	5.0202519972e-03
0.00213           	(5.0202519972e-03 5.0400803296e-09 -3.4373983138e-08)	5.0202519972e-03
0.00214           	(5.0202519972e-03 5.0163029049e-09 -3.4330581691e-08)	5.0202519972e-03
0.00215           	(5.0202519972e-03 4.9926116255e-09 -3.4287898752e-08)	5.0202519972e-03
0.00216           	(5.0202519972e-03 4.9689873835e-09 -3.4244402738e-08)	5.0202519972e-03
0.00217           	(5.0202519972e-03 4.9452480671e-09 -3.4201608654e-08)	5.0202519972e-03
0.00218           	(5.0202519972e-03 4.9214620600e-09 -3.4157963391e-08)	5.0202519972e-03
0.00219           	(5.0202519972e-03 4.8976402913e-09 -3.4115098561e-08)	5.0202519972e-03
0.0022            	(5.0202519972e-03 4.8736968252e-09 -3.4071518934e-08)	5.0202519972e-03
0.00221           	(5.0202519972e-03 4.8496122938e-09 -3.4028835477e-08)	5.0202519972e-03
0.00222           	(5.0202519972e-03 4.8254278906e-09 -3.3985323823e-08)	5.0202519972e-03
0.00223           	(5.0202519972e-03 4.8011018839e-09 -3.3942805045e-08)	5.0202519972e-03
0.00224           	(5.0202519972e-03 4.7767469331e-09 -3.3899465834e-08)	5.0202519972e-03
0.00225           	(5.0202519972e-03 4.7522525262e-09 -3.3856876249e-08)	5.0202519972e-03
0.00226           	(5.0202519972e-03 4.7277284203e-09 -3.3813391945e-08)	5.0202519972e-03
0.00227           	(5.0202519972e-03 4.7030768284e-09 -3.3770636698e-08)	5.0202519972e-03
0.00228           	(5.0202519972e-03 4.6785354149e-09 -3.3726946655e-08)	5.0202519972e-03
0.00229           	(5.0202519972e-03 4.6537152536e-09 -3.3683877489e-08)	5.0202519972e-03
0.0023            	(5.0202519972e-03 4.6289315992e-09 -3.3639812967e-08)	5.0202519972e-03
0.00231           	(5.0202519972e-03 4.6038599350e-09 -3.3596241336e-08)	5.0202519972e-03
0.00232           	(5.0202519972e-03 4.5788601149e-09 -3.3551650090e-08)	5.0202519972e-03
0.00233           	(5.0202519972e-03 4.5537880510e-09 -3.3507403158e-08)	5.0202519972e-03
0.00234           	(5.0202519972e-03 4.5289782565e-09 -3.3462148731e-08)	5.0202519972e-03
0.00235           	(5.0202519972e-03 4.5041745277e-09 -3.3417283464e-08)	5.0202519972e-03
0.00236           	(5.0202519972e-03 4.4795257760e-09 -3.3371482391e-08)	5.0202519972e-03
0.00237           	(5.0202519972e-03 4.4548816121e-09 -3.3326182951e-08)	5.0202519972e-03
0.00238           	(5.0202519972e-03 4.4304588212e-09 -3.3279969664e-08)	5.0202519972e-03
0.00239           	(5.0202519972e-03 4.4060901774e-09 -3.3234254233e-08)	5.0202519972e-03
0.0024            	(5.0202519972e-03 4.3814576183e-09 -3.3187778144e-08)	5.0202519972e-03
0.00241           	(5.0202519972e-03 4.3563882636e-09 -3.3141606064e-08)	5.0202519972e-03
0.00242           	(5.0202519972e-03 4.3311477240e-09 -3.3094694135e-08)	5.0202519972e-03
0.00243           	(5.0202519972e-03 4.3051714889e-09 -3.3047735090e-08)	5.0202519972e-03
0.00244           	(5.0202519972e-03 4.2794541908e-09 -3.2999999578e-08)	5.0202519972e-03
0.00245           	(5.0202519972e-03 4.2535544507e-09 -3.2952417180e-08)	5.0202519972e-03
0.00246           	(5.0202519972e-03 4.2281759120e-09 -3.2904231303e-08)	5.0202519972e-03
0.00247           	(5.0202519972e-03 4.2020616986e-09 -3.2856832645e-08)	5.0202519972e-03
0.00248           	(5.0202519972e-03 4.1764719168e-09 -3.2808936021e-08)	5.0202519972e-03
0.00249           	(5.0202519972e-03 4.1504909199e-09 -3.2761214687e-08)	5.0202519972e-03
0.0025            	(5.0202519972e-03 4.1246620539e-09 -3.2713013272e-08)	5.0202519972e-03
0.00251           	(5.0202519972e-03 4.0984415549e-09 -3.2665135726e-08)	5.0202519972e-03
0.00252           	(5.0202519972e-03 4.0726002626e-09 -3.2616990764e-08)	5.0202519972e-03
0.00253           	(5.0202519972e-03 4.0464001642e-09 -3.2569413032e-08)	5.0202519972e-03
0.00254           	(5.0202519972e-03 4.0200414010e-09 -3.2521454519e-08)	5.0202519972e-03
0.00255           	(5.0202519972e-03 3.9930792339e-09 -3.2473892081e-08)	5.0202519972e-03
0.00256           	(5.0202519972e-03 3.9660220374e-09 -3.2425667216e-08)	5.0202519972e-03
0.00257           	(5.0202519972e-03 3.9388299616e-09 -3.2377839541e-08)	5.0202519972e-03
0.00258           	(5.0202519972e-03 3.9117241553e-09 -3.2329320523e-08)	5.0202519972e-03
0.00259           	(5.0202519972e-03 3.8847936963e-09 -3.2281274501e-08)	5.0202519972e-03
0.0026            	(5.0202519972e-03 3.8577499697e-09 -3.2232472202e-08)	5.0202519972e-03
0.00261           	(5.0202519972e-03 3.8308164688e-09 -3.2184425664e-08)	5.0202519972e-03
0.00262           	(5.0202519972e-03 3.8041245385e-09 -3.2135474179e-08)	5.0202519972e-03
0.00263           	(5.0202519972e-03 3.7774444091e-09 -3.2087594409e-08)	5.0202519972e-03
0.00264           	(5.0202519972e-03 3.7506121425e-09 -3.2038549335e-08)	5.0202519972e-03
0.00265           	(5.0202519972e-03 3.7236637807e-09 -3.1990051510e-08)	5.0202519972e-03
0.00266           	(5.0202519972e-03 3.6966367650e-09 -3.1940587807e-08)	5.0202519972e-03
0.00267           	(5.0202519972e-03 3.6694860178e-09 -3.1892001798e-08)	5.0202519972e-03
0.00268           	(5.0202519972e-03 3.6422440503e-09 -3.1842352044e-08)	5.0202519972e-03
0.00269           	(5.0202519972e-03 3.6147063194e-09 -3.1793680538e-08)	5.0202519972e-03
0.0027            	(5.0202519972e-03 3.5870275353e-09 -3.1743898158e-08)	5.0202519972e-03
0.00271           	(5.0202519972e-03 3.5592049033e-09 -3.1694939073e-08)	5.0202519972e-03
0.00272           	(5.0202519972e-03 3.5314097336e-09 -3.1644876451e-08)	5.0202519972e-03
0.00273           	(5.0202519972e-03 3.5036505923e-09 -3.1595176940e-08)	5.0202519972e-03
0.00274           	(5.0202519972e-03 3.4750839352e-09 -3.1545245522e-08)	5.0202519972e-03
0.00275           	(5.0202519972e-03 3.4464454691e-09 -3.1495797977e-08)	5.0202519972e-03
0.00276           	(5.0202519972e-03 3.4178881952e-09 -3.1445104565e-08)	5.0202519972e-03
0.00277           	(5.0202519972e-03 3.3891002426e-09 -3.1395291475e-08)	5.0202519972e-03
0.00278           	(5.0202519972e-03 3.3603395958e-09 -3.1344856125e-08)	5.0202519972e-03
0.00279           	(5.0202519972e-03 3.3316200551e-09 -3.1295254985e-08)	5.0202519972e-03
0.0028            	(5.0202519972e-03 3.3026063839e-09 -3.1244877770e-08)	5.0202519972e-03
0.00281           	(5.0202519972e-03 3.2735371105e-09 -3.1195002385e-08)	5.0202519972e-03
0.00282           	(5.0202519972e-03 3.2443868992e-09 -3.1144165700e-08)	5.0202519972e-03
0.00283           	(5.0202519972e-03 3.2150738451e-09 -3.1093515318e-08)	5.0202519972e-03
